id,name,synonyms
70b64f76-e2fc-4b63-94f0-4fdcddee4663,Chlorpheniramine Maleate,Chlorpheniramine Maleate 1mg/ml + Phenylephrine 1.25mg/ml|Chlorpheniramine Maleate 2mg/5ml + Paracetamol 250mg/5ml|Chlorpheniramine Maleate 1.5mg/5ml + Dextromethorphan Hydrobromide 5mg/5ml|Chlorpheniramine Maleate 2mg/4ml + Levodropropizine 30mg/5ml|Chlorpheniramine Maleate 2mg + Ammonium Chloride 120mg|Chlorpheniramine Maleate 10mg|Chlorpheniramine Maleate 2mg/5ml + Menthol 1mg/5ml|Chlorpheniramine Maleate 5mg + Phenylephrine 4mg|Chlorpheniramine Maleate 1.5mg + Dextromethorphan Hydrobromide 5mg|Chlorpheniramine Maleate 4mg + Codeine 30mg|Chlorpheniramine Maleate 0.2% w/v + Phenylephrine 0.12% w/v|Chlorpheniramine Maleate 2mg/5ml + Phenylephrine 2.5mg/5ml|Chlorpheniramine Maleate 2mg/ml + Phenylephrine 2.5mg/ml|Chlorpheniramine Maleate 2mg + Phenylephrine 10mg|Chlorpheniramine Maleate 2mg|Chlorpheniramine Maleate 7.5mg + Codeine 2mg|Chlorpheniramine Maleate 8mg|Chlorpheniramine Maleate NA + Codeine NA|Chlorpheniramine Maleate 4mg + Phenylpropanolamine 25mg|Chlorpheniramine Maleate 4mg + Ammonium Chloride 100mg
652f7579-cab6-4a25-a747-39cff270eef5,Ranitidine,Ranitidine 75 mg/5ml|Ranitidine 25mg|Ranitidine 75mg/5ml|Ranitidine 25mg/ml|Ranitidine 40mg|Ranitidine 25mg/1ml|Ranitidine 300mg|Ranitidine 75mg|Ranitidine 150mg|Ranitidine NA|Ranitidine 150mg + Magaldrate 200mg|Ranitidine 50mg|Ranitidine 20mg|Ranitidine 5mg
6509d082-96a5-4faf-ad42-0ed521008970,Beclometasone,Beclometasone 0.025% w/v + Clotrimazole 0.025% w/v|Beclometasone 400mcg|Beclometasone 0.025% w/v + Clotrimazole 1% w/v|Beclometasone 0.025% w/w + Miconazole 2% w/w|Beclometasone 0.025% + Clotrimazole 1%|Beclometasone 0.1% + Fusidic Acid 0.2%|Beclometasone 0.025% w/w + Neomycin 0.5% w/v|Beclometasone 0.25mg + Neomycin 5mg|Beclometasone 0.25% w/w + Clotrimazole 1% w/w|Beclometasone 0.025% w/w + Clotrimazole 1% w/w|Beclometasone 0.030% w/w + Neomycin 0.5% w/w|Beclometasone 1% w/v + Clotrimazole 0.025% w/v|Beclometasone 0.1% w/w + Clindamycin 1% w/w|Beclometasone 0.025% w/w + Fusidic Acid 2% w/w|Beclometasone 0.025% w/w + Neomycin 0.50% w/w|Beclometasone 0.025% w/w + Gentamicin 0.1% w/w|Beclometasone 0.01% w/v + Clotrimazole 1% w/v|Beclometasone 200mg + Formoterol 6mcg|Beclometasone 0.025% w/w|Beclometasone 200mcg + Formoterol 6mcg
84a0990b-5f0c-40fe-ab09-600f31fe3da8,Salbutamol,Salbutamol 2mg + Theophylline 50mg|Salbutamol 4mg|Salbutamol 2mg + Bromhexine 10mg|Salbutamol 250mg|Salbutamol 1mg/gm + Bromhexine 2mg/5ml|Salbutamol 400mcg + Beclometasone 200mcg|Salbutamol 1mg + Etofylline 50mg|Salbutamol 2mg + Bromhexine 4mg|Salbutamol 1.25mg + Ipratropium 500mcg|Salbutamol NA + Etofylline NA|Salbutamol 2mg + Bromhexine 8mg|Salbutamol 100mcg + Ipratropium 20mcg|Salbutamol 10mg + Theophylline 50mg|Salbutamol 2mg/5ml + Bromhexine 8mg/5ml|Salbutamol 200mcg + Ipratropium 40mcg|Salbutamol 2mg|Salbutamol 100mcg + Beclometasone 50mcg|Salbutamol 2mg + Etofylline 200mg|Salbutamol 2mg + Etofylline 8mg|Salbutamol 100mcg + Beclometasone 100mcg
fc235717-038b-422a-a5d6-fb9bd32f9045,Clonidine,Clonidine 100mcg + Hydrochlorothiazide 20mg|Clonidine 100mg|Clonidine 150mcg|Clonidine 100mcg
d447a191-8a79-4713-b125-aaacc1513d1b,Promethazine,Promethazine NA|Promethazine 5mg|Promethazine 1.5mg/5ml + Pholcodine 1.5mg/5ml|Promethazine NA + Pholcodine NA|Promethazine 5mg/5ml + Dextromethorphan Hydrobromide 10mg/5ml|Promethazine 50mg|Promethazine 25mg|Promethazine 250mg|Promethazine 5mg + Dextromethorphan Hydrobromide 15mg|Promethazine 10mg|Promethazine 5mg/5ml|Promethazine 1.5mg + Pholcodine 1.5mg
d9371beb-ae8e-4064-9237-ba79f5565086,Albendazole,Albendazole 100mg|Albendazole 400mg/5ml|Albendazole 600mg|Albendazole 200mg|Albendazole NA|Albendazole 150mg|Albendazole 400mg + Levamisole 150mg|Albendazole 20mg|Albendazole 300mg + Pyrantel Pamoate 100mg|Albendazole 125mg|Albendazole 200mg + Levamisole 50mg|Albendazole 400mg|Albendazole 200mg/5ml|Albendazole 500mg
6af32a12-695d-48fe-aa30-73ac3a2efd66,Alprazolam,Alprazolam 0.25mg + Fluoxetine 20mg|Alprazolam 2mg|Alprazolam 0.25mg + Propranolol 10mg|Alprazolam 0.50mg + Sertraline 50mg|Alprazolam 20mg|Alprazolam 0.5mg + Melatonin 3mg|Alprazolam 0.25mg|Alprazolam 0.25 mg|Alprazolam 1mg|Alprazolam 0.25mg + Imipramine 25mg|Alprazolam 0.5mg + Sertraline 25mg|Alprazolam 0.25mg + Propranolol 20mg|Alprazolam 0.25mg + Paracetamol 500mg|Alprazolam 0.25mg + Fluoxetine 10mg|Alprazolam 0.5mg + Melatonin NA|Alprazolam 0.25mg + Melatonin 3mg|Alprazolam 0.50mg|Alprazolam 2mg + Melatonin NA|Alprazolam 12.5mg|Alprazolam NA + Fluoxetine NA
75610386-1f8f-4ccb-8fe8-4c22bffaf512,Aceclofenac,Aceclofenac 50mg + Paracetamol 250mg|Aceclofenac 100mg + Thiocolchicoside 4mg|Aceclofenac 100mg + Thiocolchicoside 8mg|Aceclofenac 500mg + Paracetamol 100mg|Aceclofenac 100mg + Beta-Cyclodextrin 100mg|Aceclofenac 100mg + Trypsin Chymotrypsin 50000AU|Aceclofenac 1.5% w/w + Linseed Oil 3% w/w|Aceclofenac 50mg/10ml + Paracetamol 250mg/10ml|Aceclofenac 50mg/5ml + Paracetamol 250mg/5ml|Aceclofenac 150mg|Aceclofenac 200mg + Misoprostol 200mcg|Aceclofenac NA + Thiocolchicoside NA|Aceclofenac 1.5% w/w|Aceclofenac 100mg + Tizanidine 2mg|Aceclofenac 100mg + Trypsin Chymotrypsin 150000IU|Aceclofenac 100mg + Paracetamol 125mg|Aceclofenac 100mg + Zinc Carnosine 37.5mg|Aceclofenac 100mg + Paracetamol 225mg|Aceclofenac NA|Aceclofenac 100mg + Paracetamol 200mg
479025a9-3d2e-471c-9893-a1144681e939,Rabeprazole,Rabeprazole 20mg + Zinc Carnosine 75mg|Rabeprazole 40mg|Rabeprazole 10mg|Rabeprazole 20mg + Cinitapride 3mg|Rabeprazole 20mg + Itopride 75mg|Rabeprazole 20mg + Itopride 40mg|Rabeprazole 20mg|Rabeprazole NA + Itopride NA|Rabeprazole 20mg + Mosapride 15mg|Rabeprazole 20mg + Itopride 150mg|Rabeprazole NA
