nppa_drug_name,salt_id,dosage_form,strength,ceiling_price_2026,drugs_matched_form,drugs_matched_exact,violations
Amoxicillin,527b2c82-0c4b-4b1f-a097-2beeafaa1075,Injection,250 mg,25.38,641,64,44
Amoxicillin,527b2c82-0c4b-4b1f-a097-2beeafaa1075,Injection,500 mg,55.96,641,37,27
Amoxicillin,527b2c82-0c4b-4b1f-a097-2beeafaa1075,Oral Liquid,125 mg/5 mL (p),1.05,0,0,0
Amoxicillin (A) + Clavulanic acid (B),527b2c82-0c4b-4b1f-a097-2beeafaa1075,Injection,500mg (A) + 100mg (B),103.78,641,37,4
Amoxicillin (A) + Clavulanic acid (B),527b2c82-0c4b-4b1f-a097-2beeafaa1075,Syrup,125mg (A) + 31.25 (B)/5mL(p),2.1,1407,160,20
Amoxicillin (A) + Clavulanic acid (B),527b2c82-0c4b-4b1f-a097-2beeafaa1075,Injection,1 g (A) +200mg (B),145.06,641,0,0
Amoxicillin (A) +Clavulanic acid (B),527b2c82-0c4b-4b1f-a097-2beeafaa1075,Tablet,500 mg (A) + 125 mg (B),18.74,4193,2705,1250
Amoxicillin (A) +Clavulanic acid (B),527b2c82-0c4b-4b1f-a097-2beeafaa1075,Oral Liquid,200 mg (A) + 28.5mg(B)/5 mL(p),2.07,0,0,0
Amphotericin B,69aa5d55-fbb4-4a6c-8399-d52dc63e27cd,Injection,50mg/vial,232.86,26,21,20
Ampicillin,54ec1577-fbc9-4ce8-8035-58ec13561315,Injection,500 mg,14.59,187,72,25
