nppa_drug_name,salt_id,dosage_form,strength,ceiling_price_2026,drugs_matched_form,drugs_matched_exact,violations
Phenytoin,115629ff-f13f-41fc-8760-c0947eacf58b,Oral Liquid,125mg/5mL(p),1.13,0,0,0
Phenytoin,115629ff-f13f-41fc-8760-c0947eacf58b,Capsule,300mg,4.76,5,1,1
Phenytoin,115629ff-f13f-41fc-8760-c0947eacf58b,Capsule,100mg,1.87,5,2,0
Phytomenadione (Vitamin K1),76a285d7-9ebd-47b8-bce8-a6b42a62d9c5,Injection,10mg/mL,54.36,12,4,1
Phytomenadione (Vitamin K1),76a285d7-9ebd-47b8-bce8-a6b42a62d9c5,Tablet,10mg,14.89,2,0,0
Pilocarpine,38eee036-06a7-46e8-97de-1ba82f913aba,Drops,2 %,16.64,0,0,0
Piperacillin (A) +Tazobactam(B),9b3b8e07-81ad-4697-acb3-44142a8c658e,Injection,1000mg(A)+125mg(B),102.05,917,63,34
Piperacillin (A) +Tazobactam(B),9b3b8e07-81ad-4697-acb3-44142a8c658e,Injection,2000mg(A)+250mg(B),196.15,917,79,47
Piperacillin (A) +Tazobactam(B),9b3b8e07-81ad-4697-acb3-44142a8c658e,Injection,4000mg(A)+500mg(B),409.0,917,768,327
Potassium chloride,2c59611a-d1cd-4f23-948e-21586f88fe77,Oral Liquid,500mg/5mL,0.31,0,0,0
Potassium chloride,2c59611a-d1cd-4f23-948e-21586f88fe77,Injection,150mg/mL,2.46,10,3,1
Povidone iodine,e8e2dbda-0e31-4ad2-a5f2-d9348c8f8cdf,Solution,5%,0.45,80,0,0
Povidone iodine,e8e2dbda-0e31-4ad2-a5f2-d9348c8f8cdf,Solution,7.5%,0.84,80,0,0
Povidone iodine,e8e2dbda-0e31-4ad2-a5f2-d9348c8f8cdf,Solution,10%,0.99,80,0,0
Povidone iodine,e8e2dbda-0e31-4ad2-a5f2-d9348c8f8cdf,Solution,4%,1.78,80,0,0
Povidone iodine,e8e2dbda-0e31-4ad2-a5f2-d9348c8f8cdf,Ointment,10%,6.3,166,0,0
Prednisolone,657cd21b-7de9-4451-bf62-72a713959663,Tablet,40mg,3.49,109,9,1
Prednisolone,657cd21b-7de9-4451-bf62-72a713959663,Oral Liquid,5mg/5mL(p),0.5,0,0,0
Prednisolone,657cd21b-7de9-4451-bf62-72a713959663,Oral Liquid,15mg/5mL(p),0.88,0,0,0
Prednisolone,657cd21b-7de9-4451-bf62-72a713959663,Tablet,10mg,1.23,109,34,10
Prednisolone,657cd21b-7de9-4451-bf62-72a713959663,Tablet,5mg,0.69,109,34,14
Prednisolone,657cd21b-7de9-4451-bf62-72a713959663,Tablet,20mg,2.46,109,19,2
Prednisolone,657cd21b-7de9-4451-bf62-72a713959663,Drops,1%,5.9,1,0,0
Primaquine,96fc830e-ba0e-4fb0-bdbe-6f3fad8f1d4c,Tablet,7.5mg,2.44,42,19,3
Primaquine,96fc830e-ba0e-4fb0-bdbe-6f3fad8f1d4c,Tablet,15mg,5.26,42,19,1
Primaquine,96fc830e-ba0e-4fb0-bdbe-6f3fad8f1d4c,Tablet,2.5mg,1.79,42,3,1
Proparacaine,3d057006-2fa4-4c0c-af53-772f3b7bb915,Eye Drop,s0.5%,10.5,0,0,0
Propofol,19dcdde6-0485-4a0c-9c7f-1890f3dca12e,Injection,10mg/mL,6.65,23,14,12
Propranolol,a6dedc2e-06b7-4ee6-a065-302266f96de3,Tablet,40mg,3.3,341,197,131
Propranolol,a6dedc2e-06b7-4ee6-a065-302266f96de3,Tablet,10mg,1.34,341,49,6
Propranolol,a6dedc2e-06b7-4ee6-a065-302266f96de3,Tablet,20mg,3.28,341,73,10
Propranolol,a6dedc2e-06b7-4ee6-a065-302266f96de3,Capsule,40mg,4.35,66,49,35
Propranolol,a6dedc2e-06b7-4ee6-a065-302266f96de3,Capsule,20 mg,2.41,66,3,2
Propranolol,a6dedc2e-06b7-4ee6-a065-302266f96de3,Capsule,10 mg,2.04,66,1,1
Pyrazinamide,6090f67f-d34a-4652-a50f-8e932f54aeca,Tablet,1000mg,10.78,80,9,0
Pyrazinamide,6090f67f-d34a-4652-a50f-8e932f54aeca,Tablet,500mg,5.01,80,21,1
Pyrazinamide,6090f67f-d34a-4652-a50f-8e932f54aeca,Tablet,750mg,7.39,80,39,1
Pyrazinamide,6090f67f-d34a-4652-a50f-8e932f54aeca,Tablet,1500mg,12.1,80,2,0
Quinine,a81fc90f-29c9-414e-95dc-f05ebf58222e,Tablet,300 mg,5.79,138,86,16
Quinine,a81fc90f-29c9-414e-95dc-f05ebf58222e,Injection,300 mg/mL,9.73,24,13,3
Raltegravir,44acb9b5-9b56-4142-9e43-b99969c07529,Tablet,400mg,151.35,2,2,0
Ramipril,e9c76bf2-f1e2-4c9b-bcdf-175bf18904f0,Tablet,2.5 mg,5.33,452,184,55
Ramipril,e9c76bf2-f1e2-4c9b-bcdf-175bf18904f0,Tablet,5mg,8.37,452,195,46
Ramipril,e9c76bf2-f1e2-4c9b-bcdf-175bf18904f0,Capsule,2.5mg,4.77,83,27,12
Ramipril,e9c76bf2-f1e2-4c9b-bcdf-175bf18904f0,Capsule,5mg,7.37,83,31,14
Ribavirin,28e9a793-1a34-46b5-a99f-4f8f592c15e8,Capsule,200 mg,27.13,14,12,10
Rifampicin,bf15ec31-6439-4578-b6d2-8972c1d4abbc,Capsule,600mg,11.64,58,2,1
Rifampicin,bf15ec31-6439-4578-b6d2-8972c1d4abbc,Capsule,450mg,5.81,58,37,10
Rifampicin,bf15ec31-6439-4578-b6d2-8972c1d4abbc,Capsule,150mg,2.35,58,4,1
Rifampicin,bf15ec31-6439-4578-b6d2-8972c1d4abbc,Capsule,300mg,4.72,58,13,0
Rifampicin,bf15ec31-6439-4578-b6d2-8972c1d4abbc,Tablet,300 mg,3.72,174,8,4
Rifampicin,bf15ec31-6439-4578-b6d2-8972c1d4abbc,Oral Liquid,100mg/5mL(p),0.48,0,0,0
Risperidone,c5831b0f-7aa5-4fd3-80e1-5a5b7a105491,Tablet,1 mg,3.1,493,101,9
Risperidone,c5831b0f-7aa5-4fd3-80e1-5a5b7a105491,Tablet,2 mg,4.59,493,159,32
Risperidone,c5831b0f-7aa5-4fd3-80e1-5a5b7a105491,Tablet,4 mg,7.54,493,94,15
Risperidone,c5831b0f-7aa5-4fd3-80e1-5a5b7a105491,Oral Liquid,1mg/mL,2.26,0,0,0
Risperidone,c5831b0f-7aa5-4fd3-80e1-5a5b7a105491,Injection,(Long acting) 25mg,1976.65,5,2,1
Risperidone,c5831b0f-7aa5-4fd3-80e1-5a5b7a105491,Injection,(Long acting) 37.5 mg,2713.03,5,1,1
Ritonavir,2e6ba570-177a-41fa-b50e-141048251a71,Tablet,100mg,29.91,12,4,0
Rituximab,acaa2e60-45b9-494a-9e8a-229e8a7c533a,Injection,10mg/mL,780.1,31,0,0
Salbutamol,84a0990b-5f0c-40fe-ab09-600f31fe3da8,Tablet,4 mg,0.33,73,25,21
Salbutamol,84a0990b-5f0c-40fe-ab09-600f31fe3da8,Tablet,2 mg,0.27,73,42,28
Salbutamol,84a0990b-5f0c-40fe-ab09-600f31fe3da8,Solution,(Solution for Nebulizer 5mg/mL),1.05,5,2,0
Salbutamol,84a0990b-5f0c-40fe-ab09-600f31fe3da8,Oral Liquid,2mg/5mL,0.18,0,0,0
Salbutamol,84a0990b-5f0c-40fe-ab09-600f31fe3da8,Inhalation,(MDI/DPI) 100mcg/dose,0.5,0,0,0
Salicylic acid,4aa16718-6d0a-4398-ad4c-854d308d658a,Ointment,6%,2.07,27,0,0
Sevoflurane,fc38b504-598d-4fe8-a3f9-c3d3ea156d11,Liquid For Inhalation,,31.92,0,0,0
Sodium bicarbonate,a4b147c7-a688-4f82-9487-3dd7ef8825f5,Injection,(as per IP) - 8.4%,1.38,3,0,0
Sodium bicarbonate,a4b147c7-a688-4f82-9487-3dd7ef8825f5,Injection,(as per IP) - 7.5%,1.04,3,0,0
Sodium Valproate,955f2df4-ae22-49dd-8c71-d26752560d5c,Tablet,300mg,4.57,349,34,21
Sodium Valproate,955f2df4-ae22-49dd-8c71-d26752560d5c,Oral Liquid,200mg/5mL(p),0.66,0,0,0
Sodium Valproate,955f2df4-ae22-49dd-8c71-d26752560d5c,Tablet,200mg,3.67,349,129,84
Sodium Valproate,955f2df4-ae22-49dd-8c71-d26752560d5c,Modified Release,– Tablet 500mg,9.5,0,0,0
Sodium Valproate,955f2df4-ae22-49dd-8c71-d26752560d5c,Tablet,500mg,8.31,349,37,14
Sodium Valproate,955f2df4-ae22-49dd-8c71-d26752560d5c,Modified Release,– Tablet 300mg,6.25,0,0,0
Sodium Valproate,955f2df4-ae22-49dd-8c71-d26752560d5c,Injection,100mg/mL,6.91,6,5,2
Sofosbuvir,8cc5c727-8494-4cef-9e41-b5b2fee705e4,Tablet,400mg,537.73,26,26,24
Somatostatin,d9a92d43-76ed-4a4a-b285-e8395ad5b543,Injection,3mg,1391.63,9,0,0
